epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,723.671,1.54011,1.63336,1.63001,1.37547,0.65274,0.34945,0.44723,0.31903,0.64609,0.34654,0.44148,0.2834,1.28945,1.38318,1.5505,1.45657,0.0095743,0.0095743,0.0095743
88,731.873,1.47687,1.54935,1.58764,1.36592,0.72636,0.34284,0.46091,0.33272,0.7102,0.33571,0.45188,0.27198,1.34039,1.37367,1.54637,1.46783,0.00956935,0.00956935,0.00956935
89,740.208,1.5134,1.61154,1.62822,1.34361,0.6551,0.36798,0.46549,0.31547,0.64847,0.36595,0.45175,0.27233,1.29682,1.46752,1.47679,1.45767,0.0095644,0.0095644,0.0095644
90,748.574,1.47981,1.54161,1.57372,1.34702,0.72328,0.33464,0.4649,0.3105,0.60997,0.36204,0.45825,0.29214,1.2576,1.43577,1.40027,1.41875,0.00955945,0.00955945,0.00955945
91,756.988,1.49814,1.57296,1.59819,1.36436,0.63273,0.3953,0.47192,0.32024,0.6296,0.39335,0.46558,0.28619,1.26035,1.47849,1.40877,1.41716,0.0095545,0.0095545,0.0095545
92,765.477,1.46079,1.51529,1.54252,1.33691,0.67204,0.37182,0.4745,0.31656,0.64668,0.36893,0.46126,0.29477,1.2659,1.42655,1.38763,1.43525,0.00954955,0.00954955,0.00954955
93,773.804,1.48534,1.53743,1.63974,1.38921,0.70673,0.37573,0.48482,0.33559,0.69937,0.37182,0.47644,0.30619,1.30038,1.42649,1.48543,1.45122,0.0095446,0.0095446,0.0095446
94,782.193,1.4635,1.58852,1.55793,1.35509,0.66749,0.36204,0.46272,0.31265,0.66389,0.36008,0.45677,0.27645,1.35144,1.39594,1.55003,1.4725,0.00953965,0.00953965,0.00953965
95,790.498,1.46066,1.56711,1.53992,1.33277,0.6411,0.36355,0.4662,0.3248,0.63897,0.36008,0.45488,0.2641,1.38059,1.52842,1.56515,1.48873,0.0095347,0.0095347,0.0095347
96,798.941,1.55163,1.61084,1.63062,1.37323,0.56683,0.39335,0.47036,0.34213,0.562,0.38943,0.46382,0.30393,1.2272,1.41681,1.58272,1.40739,0.00952975,0.00952975,0.00952975
97,807.396,1.50999,1.59083,1.59566,1.33756,0.70088,0.37182,0.4689,0.33828,0.6935,0.36791,0.46002,0.2976,1.28948,1.40114,1.47008,1.42533,0.0095248,0.0095248,0.0095248
98,815.679,1.47683,1.60608,1.58866,1.35272,0.63347,0.37769,0.46685,0.32699,0.61481,0.38731,0.46497,0.28577,1.30968,1.40981,1.57016,1.45772,0.00951985,0.00951985,0.00951985
99,824.268,1.49824,1.56042,1.58966,1.34304,0.69051,0.38552,0.48461,0.33764,0.67594,0.3816,0.48382,0.29545,1.31059,1.39379,1.4652,1.44795,0.0095149,0.0095149,0.0095149
100,832.661,1.50672,1.58191,1.55732,1.32917,0.66246,0.39139,0.48323,0.32377,0.66577,0.39335,0.48608,0.28626,1.42057,1.37853,1.56383,1.50073,0.00950995,0.00950995,0.00950995
101,841.018,1.5385,1.55625,1.60899,1.37943,0.67175,0.38552,0.4812,0.33061,0.66834,0.38356,0.48089,0.27417,1.4085,1.39136,1.51475,1.50521,0.009505,0.009505,0.009505
102,849.49,1.52788,1.54855,1.59266,1.34499,0.76683,0.35812,0.48072,0.32392,0.75931,0.34572,0.47442,0.29062,1.31558,1.38676,1.4754,1.44685,0.00950005,0.00950005,0.00950005
103,857.874,1.46013,1.50351,1.5355,1.3305,0.68511,0.3534,0.47412,0.32141,0.67752,0.34948,0.46961,0.29602,1.40419,1.40532,1.49738,1.4991,0.0094951,0.0094951,0.0094951
104,866.199,1.47626,1.52218,1.55276,1.32039,0.7634,0.34247,0.47433,0.33683,0.75031,0.33659,0.46194,0.28751,1.29619,1.40822,1.48642,1.44575,0.00949015,0.00949015,0.00949015
105,874.602,1.47063,1.53631,1.57054,1.36273,0.7837,0.33325,0.46751,0.32849,0.76241,0.33464,0.45447,0.27254,1.34167,1.40814,1.50551,1.45454,0.0094852,0.0094852,0.0094852
106,882.965,1.44242,1.51434,1.52834,1.33753,0.55254,0.38748,0.46647,0.31485,0.55064,0.37182,0.45318,0.25948,1.34802,1.46704,1.46415,1.44916,0.00948025,0.00948025,0.00948025
107,891.364,1.42176,1.49679,1.47037,1.29881,0.67765,0.36986,0.47859,0.32516,0.6633,0.36204,0.47081,0.28116,1.37312,1.4338,1.44658,1.47852,0.0094753,0.0094753,0.0094753
108,899.87,1.5186,1.60034,1.58609,1.33385,0.68249,0.38943,0.48103,0.34234,0.66987,0.3812,0.47157,0.28378,1.3015,1.38613,1.4305,1.4438,0.00947035,0.00947035,0.00947035
109,908,1.42615,1.53932,1.51224,1.31407,0.66942,0.37647,0.48642,0.3135,0.61071,0.3991,0.47645,0.2799,1.328,1.42978,1.4437,1.45665,0.0094654,0.0094654,0.0094654
110,916.263,1.49179,1.52988,1.56516,1.37421,0.54493,0.41478,0.48691,0.31808,0.55005,0.39335,0.47502,0.28949,1.38569,1.39523,1.49061,1.48767,0.00946045,0.00946045,0.00946045
111,924.512,1.41813,1.47373,1.50086,1.30238,0.70993,0.37182,0.49378,0.3234,0.68035,0.3582,0.47588,0.28815,1.33963,1.40593,1.38572,1.44888,0.0094555,0.0094555,0.0094555
112,932.807,1.45391,1.48853,1.54029,1.32137,0.63709,0.3816,0.47905,0.31234,0.63757,0.37182,0.47032,0.28031,1.30272,1.40094,1.53848,1.42057,0.00945055,0.00945055,0.00945055
113,941.059,1.47172,1.56166,1.56631,1.33033,0.6819,0.37769,0.48623,0.33477,0.67825,0.36715,0.47,0.2863,1.32227,1.40225,1.48896,1.43467,0.0094456,0.0094456,0.0094456
114,949.472,1.49087,1.55147,1.55761,1.32128,0.72228,0.35812,0.48401,0.32,0.74339,0.35421,0.46655,0.2782,1.34969,1.39723,1.39829,1.45296,0.00944065,0.00944065,0.00944065
115,958.065,1.4837,1.5541,1.53681,1.3486,0.6936,0.38542,0.49526,0.33004,0.68304,0.37954,0.48642,0.29147,1.32972,1.43771,1.44477,1.44626,0.0094357,0.0094357,0.0094357
116,966.438,1.45291,1.51631,1.51356,1.32703,0.64149,0.41668,0.49568,0.34335,0.64247,0.42074,0.49302,0.30069,1.30014,1.41295,1.41336,1.44136,0.00943075,0.00943075,0.00943075
117,974.79,1.44007,1.48032,1.54585,1.34274,0.62605,0.40952,0.48458,0.30359,0.62226,0.40705,0.47734,0.2854,1.29589,1.4356,1.43296,1.43351,0.0094258,0.0094258,0.0094258
118,983.166,1.42517,1.48424,1.53692,1.32895,0.61887,0.409,0.4797,0.31318,0.61531,0.40378,0.47055,0.29139,1.21933,1.37701,1.49356,1.39571,0.00942085,0.00942085,0.00942085
119,991.516,1.48744,1.58506,1.59037,1.38337,0.6196,0.43444,0.50622,0.33081,0.63986,0.39922,0.4916,0.30828,1.25859,1.37878,1.3429,1.41696,0.0094159,0.0094159,0.0094159
120,999.87,1.48422,1.5655,1.58002,1.34838,0.7288,0.34708,0.47335,0.3065,0.69767,0.35616,0.46682,0.27617,1.22693,1.38832,1.54109,1.40181,0.00941095,0.00941095,0.00941095
121,1008.33,1.45303,1.49822,1.53787,1.30763,0.60544,0.3816,0.47857,0.297,0.60234,0.37965,0.47312,0.28916,1.22679,1.37486,1.42309,1.3976,0.009406,0.009406,0.009406
122,1016.63,1.46231,1.49092,1.54117,1.34239,0.65402,0.37378,0.48378,0.32879,0.62456,0.36791,0.4723,0.28271,1.3014,1.37558,1.42366,1.43941,0.00940105,0.00940105,0.00940105
123,1024.98,1.49437,1.61582,1.5777,1.36695,0.73477,0.35781,0.47955,0.31379,0.73788,0.36204,0.47864,0.29799,1.33425,1.4051,1.44583,1.44878,0.0093961,0.0093961,0.0093961
124,1033.29,1.48209,1.55028,1.54515,1.35023,0.57673,0.37769,0.47272,0.31381,0.57704,0.38178,0.461,0.27864,1.33192,1.40132,1.46897,1.44691,0.00939115,0.00939115,0.00939115
125,1041.68,1.53197,1.59596,1.61281,1.39308,0.59792,0.39335,0.48065,0.32526,0.59305,0.39641,0.47579,0.28992,1.31595,1.41217,1.4113,1.43972,0.0093862,0.0093862,0.0093862
126,1050,1.44525,1.46664,1.51132,1.32444,0.55846,0.3985,0.47411,0.32225,0.57823,0.38943,0.46303,0.28173,1.31125,1.42998,1.47945,1.4342,0.00938125,0.00938125,0.00938125
